order_id,order_date,payment_method
O00975,2024-03-23,Cash
O00976,2023-08-28,Card
O00977,2023-04-03,Card
O00978,2023-07-25,Cash
O00979,2023-11-06,Card
O00980,2023-05-23,Card
O00981,2024-04-30,Cash
O00982,2023-10-18,Card
O00983,2024-04-24,Card
O00984,2023-01-28,Cash
O00985,2023-05-10,Card
O00986,2023-05-21,Online
O00987,2023-08-20,Online
O00988,2024-04-02,Card
O00989,2024-04-03,Card
O00990,2023-04-12,Cash
O00991,2023-10-02,Online
O00992,2023-10-20,Online
O00993,2023-04-12,Card
O00994,2023-06-15,Cash
O00995,2024-04-23,Card
O00996,2024-02-10,Online
O00997,2023-01-02,Online
O00998,2024-05-11,Card
O00999,2024-01-17,Card
O01000,2023-11-04,Card
